ma_giao_dich,ma_khach_hang,ma_san_pham,ngay_giao_dich,gia_tri_sau_giam,co_bat_thuong,phan_vi_25,phan_vi_75,khoang_tu_phan_vi
TX0005276230920006,CUS0005276,SYSN10000499,2023-09-20,1803600,1,408950.0,826550.0,417600.0
TX0005276241001007,CUS0005276,SYSN10004371,2024-10-01,367100,0,347625.0,697600.0,349975.0
TX0005276241111008,CUS0005276,SYSN10004658,2024-11-11,369200,0,366275.0,821875.0,455600.0
TX0005276250523010,CUS0005276,SYSN10000879,2025-05-23,788000,0,376650.0,775350.0,398700.0
TX0005276250901011,CUS0005276,SYSN10006393,2025-09-01,1142500,0,578300.0,1542300.0,964000.0
TX0005276251105012,CUS0005276,SYSN10005821,2025-11-05,567900,0,510950.0,989250.0,478300.0
TX0005276251130013,CUS0005276,SYSN10001378,2025-11-30,912800,0,416600.0,1141400.0,724800.0
TX0005277220206000,CUS0005277,SYSN10003437,2022-02-06,849900,0,691350.0,840600.0,149250.0
TX0005278250406000,CUS0005278,SYSN10006885,2025-04-06,977000,0,1036525.0,2905125.0,1868600.0
TX0005278250426001,CUS0005278,SYSN10000895,2025-04-26,1544100,0,518575.0,1333600.0,815025.0
TX0005278250602002,CUS0005278,SYSN10000574,2025-06-02,1561500,0,510550.0,1284500.0,773950.0
TX0005278250710003,CUS0005278,SYSN10004401,2025-07-10,430100,0,544675.0,1447875.0,903200.0
TX0005278250731004,CUS0005278,SYSN10000328,2025-07-31,1521000,0,504700.0,1510800.0,1006100.0
TX0005278250807005,CUS0005278,SYSN10002389,2025-08-07,661800,0,806500.0,1705250.0,898750.0
TX0005278251006007,CUS0005278,SYSN10006873,2025-10-06,529500,0,502125.0,1060050.0,557925.0
TX0005278251010008,CUS0005278,SYSN10000907,2025-10-10,325400,0,577875.0,1483975.0,906100.0
TX0005278251211009,CUS0005278,SYSN10006152,2025-12-11,741600,0,517325.0,1425525.0,908200.0
TX0005279240210000,CUS0005279,SYSN10000877,2024-02-10,88600,1,111450.0,116100.0,4650.0
TX0005279240415001,CUS0005279,SYSN10005987,2024-04-15,82600,0,81200.0,165650.0,84450.0
TX0005279241121002,CUS0005279,SYSN10000663,2024-11-21,675600,1,202350.0,222250.0,19900.0
TX0005280230704000,CUS0005280,SYSN10007769,2023-07-04,292900,0,289025.0,581475.0,292450.0
TX0005280230707001,CUS0005280,SYSN10005274,2023-07-07,624600,0,344800.0,712250.0,367450.0
TX0005280230726002,CUS0005280,SYSN10004633,2023-07-26,1629800,1,414550.0,865650.0,451100.0
TX0005280231105003,CUS0005280,SYSN10001121,2023-11-05,372000,0,369000.0,763500.0,394500.0
TX0005280231111004,CUS0005280,SYSN10004774,2023-11-11,370700,0,373250.0,795600.0,422350.0
TX0005280231225005,CUS0005280,SYSN10007992,2023-12-25,930900,0,369400.0,771800.0,402400.0
TX0005280240127006,CUS0005280,SYSN10005717,2024-01-27,297700,0,296275.0,627950.0,331675.0
TX0005280240425007,CUS0005280,SYSN10004743,2024-04-25,853200,0,489950.0,1198050.0,708100.0
TX0005280240628008,CUS0005280,SYSN10006156,2024-06-28,735200,0,353000.0,999500.0,646500.0
TX0005280240723009,CUS0005280,SYSN10005751,2024-07-23,1351800,0,407100.0,845000.0,437900.0
TX0005281251119000,CUS0005281,SYSN10005288,2025-11-19,87700,0,88050.0,94000.0,5950.0
TX0005281251227001,CUS0005281,SYSN10001101,2025-12-27,124000,0,124000.0,151000.0,27000.0
TX0005282241008000,CUS0005282,SYSN10000528,2024-10-08,342600,0,113375.0,265050.0,151675.0
TX0005282251009001,CUS0005282,SYSN10004754,2025-10-09,85700,0,76900.0,151100.0,74200.0
TX0005282251224002,CUS0005282,SYSN10004486,2025-12-24,332200,1,185100.0,219000.0,33900.0
TX0005283240211000,CUS0005283,SYSN10007425,2024-02-11,285400,0,119750.0,203750.0,84000.0
TX0005283240317001,CUS0005283,SYSN10004954,2024-03-17,301900,0,288325.0,581000.0,292675.0
TX0005283241201002,CUS0005283,SYSN10003838,2024-12-01,219200,0,242800.0,476400.0,233600.0
TX0005283250117003,CUS0005283,SYSN10005308,2025-01-17,155200,0,159400.0,178400.0,19000.0
TX0005283250613004,CUS0005283,SYSN10005009,2025-06-13,322500,0,307900.0,620600.0,312700.0
TX0005284231225001,CUS0005284,SYSN10000281,2023-12-25,130100,0,141150.0,245500.0,104350.0
TX0005285250403000,CUS0005285,SYSN10001939,2025-04-03,350000,0,170000.0,350000.0,180000.0
TX0005286250713000,CUS0005286,SYSN10007519,2025-07-13,99900,0,96825.0,186500.0,89675.0
TX0005286250718001,CUS0005286,SYSN10004289,2025-07-18,380000,0,329950.0,652050.0,322100.0
TX0005286250819002,CUS0005286,SYSN10003137,2025-08-19,260500,0,120750.0,238100.0,117350.0
TX0005286251102004,CUS0005286,SYSN10002997,2025-11-02,109900,0,111325.0,145550.0,34225.0
TX0005286251228005,CUS0005286,SYSN10000106,2025-12-28,200300,0,215600.0,235500.0,19900.0
TX0005287240529000,CUS0005287,SYSN10001893,2024-05-29,44400,0,49850.0,61400.0,11550.0
TX0005287240626001,CUS0005287,SYSN10000304,2024-06-26,76500,0,42675.0,79925.0,37250.0
TX0005287240628002,CUS0005287,SYSN10007884,2024-06-28,204300,0,105000.0,211650.0,106650.0
TX0005287241207003,CUS0005287,SYSN10004785,2024-12-07,221800,0,179700.0,236600.0,56900.0
TX0005287251112004,CUS0005287,SYSN10006017,2025-11-12,137100,0,52550.0,95100.0,42550.0
TX0005288251101000,CUS0005288,SYSN10002600,2025-11-01,176200,0,101350.0,208350.0,107000.0
TX0005288251104001,CUS0005288,SYSN10001025,2025-11-04,270600,0,314850.0,683550.0,368700.0
TX0005288251117002,CUS0005288,SYSN10007903,2025-11-17,155200,0,144025.0,162750.0,18725.0
TX0005288251129003,CUS0005288,SYSN10002669,2025-11-29,292800,0,237300.0,438300.0,201000.0
TX0005288251211006,CUS0005288,SYSN10000486,2025-12-11,104000,0,108425.0,152125.0,43700.0
TX0005288251218007,CUS0005288,SYSN10003076,2025-12-18,172700,0,172325.0,393575.0,221250.0
TX0005288251221008,CUS0005288,SYSN10001540,2025-12-21,221700,1,108200.0,137250.0,29050.0
TX0005288251230009,CUS0005288,SYSN10007364,2025-12-30,245600,0,228750.0,504600.0,275850.0
TX0005289241126000,CUS0005289,SYSN10002701,2024-11-26,474700,0,440500.0,1076550.0,636050.0
TX0005289250122001,CUS0005289,SYSN10003445,2025-01-22,1086000,0,346375.0,649850.0,303475.0
TX0005289250124002,CUS0005289,SYSN10004313,2025-01-24,133900,0,125350.0,146900.0,21550.0
TX0005289250604003,CUS0005289,SYSN10003997,2025-06-04,310700,1,108525.0,179500.0,70975.0
TX0005289251010004,CUS0005289,SYSN10005632,2025-10-10,910100,0,511050.0,1144800.0,633750.0
TX0005290221216001,CUS0005290,SYSN10002862,2022-12-16,1122300,0,382525.0,872450.0,489925.0
TX0005290230628002,CUS0005290,SYSN10003308,2023-06-28,319900,0,310450.0,676400.0,365950.0
TX0005290230913003,CUS0005290,SYSN10007167,2023-09-13,628400,0,279100.0,605950.0,326850.0
TX0005290231009004,CUS0005290,SYSN10000041,2023-10-09,707800,0,675250.0,1689550.0,1014300.0
TX0005290231208005,CUS0005290,SYSN10004159,2023-12-08,644000,0,304650.0,636950.0,332300.0
TX0005290240420006,CUS0005290,SYSN10001778,2024-04-20,803900,0,375900.0,867300.0,491400.0
TX0005290240514007,CUS0005290,SYSN10002334,2024-05-14,1910800,0,474800.0,1427900.0,953100.0
TX0005290240910008,CUS0005290,SYSN10006719,2024-09-10,422900,0,443900.0,932000.0,488100.0
TX0005290241005009,CUS0005290,SYSN10002680,2024-10-05,940600,0,480350.0,975200.0,494850.0
TX0005291250714000,CUS0005291,SYSN10007614,2025-07-14,57200,0,58225.0,60275.0,2050.0
TX0005291251111001,CUS0005291,SYSN10000374,2025-11-11,41500,0,58225.0,85975.0,27750.0
TX0005291251211002,CUS0005291,SYSN10000156,2025-12-11,108100,0,105500.0,113000.0,7500.0
TX0005292231024000,CUS0005292,SYSN10002397,2023-10-24,273400,1,139800.0,165200.0,25400.0
TX0005292250627001,CUS0005292,SYSN10004893,2025-06-27,120600,0,114875.0,202025.0,87150.0
TX0005292251111002,CUS0005292,SYSN10004727,2025-11-11,48300,1,117700.0,144600.0,26900.0
TX0005293250710000,CUS0005293,SYSN10005919,2025-07-10,633900,0,175075.0,432175.0,257100.0
TX0005293251110001,CUS0005293,SYSN10006620,2025-11-10,148400,0,130800.0,151400.0,20600.0
TX0005293251202002,CUS0005293,SYSN10000967,2025-12-02,59800,0,59800.0,62800.0,3000.0
TX0005294241126000,CUS0005294,SYSN10006938,2024-11-26,130200,0,121800.0,202900.0,81100.0
TX0005294241221001,CUS0005294,SYSN10006130,2024-12-21,278900,0,146350.0,207350.0,61000.0
TX0005294241230002,CUS0005294,SYSN10006431,2024-12-30,252200,0,106550.0,239525.0,132975.0
TX0005295240219000,CUS0005295,SYSN10000263,2024-02-19,238600,1,98800.0,120100.0,21300.0
TX0005295240426001,CUS0005295,SYSN10004688,2024-04-26,186600,0,161000.0,172100.0,11100.0
TX0005295240614002,CUS0005295,SYSN10007041,2024-06-14,420200,0,520400.0,1371100.0,850700.0
TX0005295240629003,CUS0005295,SYSN10007290,2024-06-29,101500,0,127350.0,266500.0,139150.0
TX0005295240722004,CUS0005295,SYSN10002266,2024-07-22,407600,1,167850.0,211875.0,44025.0
TX0005296220727000,CUS0005296,SYSN10007964,2022-07-27,87000,0,113000.0,220000.0,107000.0
TX0005296221110001,CUS0005296,SYSN10007513,2022-11-10,87600,1,134100.0,159575.0,25475.0
TX0005296240807002,CUS0005296,SYSN10003050,2024-08-07,160200,0,170050.0,313600.0,143550.0
TX0005297240804000,CUS0005297,SYSN10003516,2024-08-04,219600,0,204425.0,218850.0,14425.0
TX0005297240812001,CUS0005297,SYSN10002155,2024-08-12,473400,0,225000.0,408075.0,183075.0
TX0005297240829002,CUS0005297,SYSN10004730,2024-08-29,85100,0,85750.0,87050.0,1300.0
TX0005298240517000,CUS0005298,SYSN10003722,2024-05-17,144000,0,144375.0,150600.0,6225.0
TX0005298240519001,CUS0005298,SYSN10007531,2024-05-19,102500,0,100800.0,120300.0,19500.0
TX0005298240603002,CUS0005298,SYSN10002518,2024-06-03,600600,1,183300.0,309325.0,126025.0
TX0005298240613003,CUS0005298,SYSN10003070,2024-06-13,131800,0,132325.0,136925.0,4600.0
TX0005298240729004,CUS0005298,SYSN10003988,2024-07-29,171200,0,150500.0,169200.0,18700.0
TX0005298240905005,CUS0005298,SYSN10005771,2024-09-05,128600,0,109100.0,230400.0,121300.0
TX0005298250523007,CUS0005298,SYSN10001402,2025-05-23,108700,0,108000.0,126900.0,18900.0
TX0005298250802008,CUS0005298,SYSN10005186,2025-08-02,141800,0,131400.0,136700.0,5300.0
TX0005298251119009,CUS0005298,SYSN10002398,2025-11-19,287000,0,169525.0,301400.0,131875.0
TX0005298251209011,CUS0005298,SYSN10005776,2025-12-09,135000,0,148800.0,233600.0,84800.0
TX0005299250711000,CUS0005299,SYSN10003409,2025-07-11,139100,0,151275.0,170900.0,19625.0
TX0005300240601000,CUS0005300,SYSN10004823,2024-06-01,274900,0,124000.0,259500.0,135500.0
TX0005300240722001,CUS0005300,SYSN10006568,2024-07-22,105800,0,110750.0,241500.0,130750.0
TX0005300240727002,CUS0005300,SYSN10001877,2024-07-27,206700,0,210550.0,446250.0,235700.0
TX0005300250217003,CUS0005300,SYSN10001744,2025-02-17,403800,0,420450.0,877800.0,457350.0
TX0005300250221004,CUS0005300,SYSN10003029,2025-02-21,144000,0,138900.0,158225.0,19325.0
TX0005300250929005,CUS0005300,SYSN10005967,2025-09-29,210600,0,203850.0,362600.0,158750.0
TX0005301231213000,CUS0005301,SYSN10000308,2023-12-13,168100,0,181400.0,340900.0,159500.0
TX0005301231217001,CUS0005301,SYSN10001074,2023-12-17,177500,0,168500.0,251750.0,83250.0
TX0005301231230002,CUS0005301,SYSN10004269,2023-12-30,215700,0,169625.0,304475.0,134850.0
TX0005302231206000,CUS0005302,SYSN10007832,2023-12-06,72700,0,128125.0,180000.0,51875.0
TX0005302240522001,CUS0005302,SYSN10003594,2024-05-22,111600,0,103350.0,121100.0,17750.0
TX0005302241111002,CUS0005302,SYSN10007004,2024-11-11,59800,0,79975.0,197025.0,117050.0
TX0005303250606000,CUS0005303,SYSN10000088,2025-06-06,231000,0,121300.0,227750.0,106450.0
TX0005303250617001,CUS0005303,SYSN10003209,2025-06-17,105800,0,107775.0,234600.0,126825.0
TX0005304250418000,CUS0005304,SYSN10002036,2025-04-18,146900,0,163300.0,175200.0,11900.0
TX0005304250607001,CUS0005304,SYSN10007790,2025-06-07,488800,0,228650.0,486600.0,257950.0
TX0005304250626002,CUS0005304,SYSN10005257,2025-06-26,103600,0,105350.0,187525.0,82175.0
TX0005305241208000,CUS0005305,SYSN10001088,2024-12-08,361900,0,326975.0,413325.0,86350.0
TX0005305241209001,CUS0005305,SYSN10007673,2024-12-09,3580700,0,1177550.0,3195350.0,2017800.0
TX0005305241212002,CUS0005305,SYSN10005514,2024-12-12,580400,0,279400.0,611800.0,332400.0
TX0005305241220004,CUS0005305,SYSN10000499,2024-12-20,444600,0,408950.0,826550.0,417600.0
TX0005305241223005,CUS0005305,SYSN10006730,2024-12-23,1425600,0,699725.0,1482600.0,782875.0
TX0005305241224006,CUS0005305,SYSN10003410,2024-12-24,689000,0,325800.0,697100.0,371300.0
TX0005305241226007,CUS0005305,SYSN10001823,2024-12-26,1324200,0,648625.0,1396250.0,747625.0
TX0005305241228008,CUS0005305,SYSN10006211,2024-12-28,348900,0,302650.0,665100.0,362450.0
TX0005305241229009,CUS0005305,SYSN10001524,2024-12-29,622500,0,338200.0,731000.0,392800.0
TX0005306221220000,CUS0005306,SYSN10000371,2022-12-20,62400,0,57100.0,62675.0,5575.0
TX0005306230927001,CUS0005306,SYSN10000818,2023-09-27,100400,0,100400.0,226800.0,126400.0
TX0005307231212000,CUS0005307,SYSN10006198,2023-12-12,36600,0,30700.0,64700.0,34000.0
TX0005307231221001,CUS0005307,SYSN10000295,2023-12-21,162000,0,157950.0,188775.0,30825.0
TX0005308250503000,CUS0005308,SYSN10000567,2025-05-03,911200,0,463550.0,1087250.0,623700.0
TX0005308251210001,CUS0005308,SYSN10006733,2025-12-10,257000,0,103175.0,252550.0,149375.0
TX0005309250105000,CUS0005309,SYSN10006885,2025-01-05,1053200,0,1036525.0,2905125.0,1868600.0
TX0005309250225001,CUS0005309,SYSN10002009,2025-02-25,1313000,0,643750.0,1889550.0,1245800.0
TX0005309250403002,CUS0005309,SYSN10000812,2025-04-03,1529600,0,709875.0,1523700.0,813825.0
TX0005309250406003,CUS0005309,SYSN10005415,2025-04-06,2404500,0,490100.0,1407600.0,917500.0
TX0005309250509004,CUS0005309,SYSN10002644,2025-05-09,1170200,0,571700.0,1603300.0,1031600.0
TX0005309250602005,CUS0005309,SYSN10005821,2025-06-02,504600,0,510950.0,989250.0,478300.0
TX0005309250729006,CUS0005309,SYSN10000970,2025-07-29,2771100,0,622850.0,1745400.0,1122550.0
TX0005309251208008,CUS0005309,SYSN10002706,2025-12-08,1071800,0,540425.0,1464725.0,924300.0
TX0005310250405000,CUS0005310,SYSN10006191,2025-04-05,255400,0,133700.0,209400.0,75700.0
TX0005310250514001,CUS0005310,SYSN10002577,2025-05-14,214500,0,197800.0,214800.0,17000.0
TX0005310250721002,CUS0005310,SYSN10004144,2025-07-21,130800,0,133600.0,157600.0,24000.0
TX0005310250929003,CUS0005310,SYSN10000981,2025-09-29,106600,0,95100.0,131950.0,36850.0
TX0005310251017004,CUS0005310,SYSN10003903,2025-10-17,321900,0,274150.0,546650.0,272500.0
TX0005311250211000,CUS0005311,SYSN10006608,2025-02-11,60500,0,60825.0,120325.0,59500.0
TX0005311251002001,CUS0005311,SYSN10002074,2025-10-02,340600,0,129800.0,410200.0,280400.0
TX0005312230914001,CUS0005312,SYSN10000472,2023-09-14,111500,0,109850.0,177775.0,67925.0
TX0005312231125002,CUS0005312,SYSN10003835,2023-11-25,149000,0,149075.0,275975.0,126900.0
TX0005313241211000,CUS0005313,SYSN10000957,2024-12-11,66300,1,146800.0,189100.0,42300.0
TX0005313250701001,CUS0005313,SYSN10007868,2025-07-01,152500,0,79300.0,118400.0,39100.0
TX0005313251211002,CUS0005313,SYSN10002604,2025-12-11,194700,0,171325.0,283550.0,112225.0
TX0005314220627000,CUS0005314,SYSN10006817,2022-06-27,83700,0,87100.0,95800.0,8700.0
TX0005314221219001,CUS0005314,SYSN10004977,2022-12-19,218700,0,263350.0,380950.0,117600.0
TX0005314230128002,CUS0005314,SYSN10003790,2023-01-28,106000,0,97875.0,113475.0,15600.0
TX0005314240601003,CUS0005314,SYSN10000010,2024-06-01,223100,0,199300.0,311200.0,111900.0
TX0005314251125004,CUS0005314,SYSN10004902,2025-11-25,383400,1,168200.0,195700.0,27500.0
TX0005315251125000,CUS0005315,SYSN10006885,2025-11-25,1922000,0,1036525.0,2905125.0,1868600.0
TX0005315251126002,CUS0005315,SYSN10003888,2025-11-26,1858200,0,658450.0,1636950.0,978500.0
TX0005315251127003,CUS0005315,SYSN10003317,2025-11-27,2724400,0,662700.0,1984700.0,1322000.0
TX0005315251127004,CUS0005315,SYSN10001579,2025-11-27,523900,0,623450.0,1738300.0,1114850.0
TX0005315251130006,CUS0005315,SYSN10000649,2025-11-30,1417800,0,700000.0,1750750.0,1050750.0
TX0005315251203007,CUS0005315,SYSN10004621,2025-12-03,1560500,0,764400.0,1622300.0,857900.0
TX0005315251209009,CUS0005315,SYSN10002096,2025-12-09,447000,0,490900.0,1339750.0,848850.0
TX0005315251210010,CUS0005315,SYSN10000849,2025-12-10,1243800,0,1416125.0,2991675.0,1575550.0
TX0005315251210011,CUS0005315,SYSN10006152,2025-12-10,869100,0,517325.0,1425525.0,908200.0
TX0005315251212013,CUS0005315,SYSN10004401,2025-12-12,211800,0,544675.0,1447875.0,903200.0
TX0005315251212014,CUS0005315,SYSN10003968,2025-12-12,418800,0,513700.0,1150000.0,636300.0
TX0005315251212016,CUS0005315,SYSN10005895,2025-12-12,281300,0,532200.0,1187900.0,655700.0
TX0005315251213017,CUS0005315,SYSN10005925,2025-12-13,1537000,0,528700.0,1322700.0,794000.0
TX0005315251214018,CUS0005315,SYSN10007586,2025-12-14,1070600,0,524250.0,1483350.0,959100.0
TX0005315251214019,CUS0005315,SYSN10006142,2025-12-14,560900,0,512600.0,1052400.0,539800.0
TX0005315251215020,CUS0005315,SYSN10004375,2025-12-15,1498800,0,489150.0,1095100.0,605950.0
TX0005315251216021,CUS0005315,SYSN10000444,2025-12-16,541800,0,597200.0,1274000.0,676800.0
TX0005315251219022,CUS0005315,SYSN10006885,2025-12-19,1099600,0,1036525.0,2905125.0,1868600.0
TX0005315251220023,CUS0005315,SYSN10007511,2025-12-20,599500,0,547275.0,1185450.0,638175.0
TX0005315251221024,CUS0005315,SYSN10003184,2025-12-21,3866800,0,900500.0,2192100.0,1291600.0
TX0005315251221025,CUS0005315,SYSN10003052,2025-12-21,2039600,1,488450.0,1054750.0,566300.0
TX0005315251223026,CUS0005315,SYSN10004351,2025-12-23,5800000,0,1369800.0,3579650.0,2209850.0
TX0005315251223027,CUS0005315,SYSN10001582,2025-12-23,1126400,0,708900.0,1551050.0,842150.0
TX0005315251225029,CUS0005315,SYSN10000904,2025-12-25,2918200,0,903900.0,2415425.0,1511525.0
TX0005315251225030,CUS0005315,SYSN10007921,2025-12-25,406900,0,525600.0,1126000.0,600400.0
TX0005315251227032,CUS0005315,SYSN10007389,2025-12-27,588900,0,578900.0,1510100.0,931200.0
TX0005315251227033,CUS0005315,SYSN10004304,2025-12-27,567000,0,729100.0,1848750.0,1119650.0
TX0005315251227034,CUS0005315,SYSN10007921,2025-12-27,549200,0,525600.0,1126000.0,600400.0
TX0005315251228035,CUS0005315,SYSN10000970,2025-12-28,1304000,0,622850.0,1745400.0,1122550.0
TX0005316251120002,CUS0005316,SYSN10005091,2025-11-20,339000,0,337500.0,667950.0,330450.0
TX0005316251213003,CUS0005316,SYSN10004922,2025-12-13,253000,0,335950.0,682100.0,346150.0
TX0005317250728000,CUS0005317,SYSN10000895,2025-07-28,528700,0,518575.0,1333600.0,815025.0
TX0005317250916001,CUS0005317,SYSN10004326,2025-09-16,1358400,1,372300.0,764300.0,392000.0
TX0005317250918002,CUS0005317,SYSN10007485,2025-09-18,372600,0,418500.0,875600.0,457100.0
TX0005317250920003,CUS0005317,SYSN10007041,2025-09-20,1000000,0,520400.0,1371100.0,850700.0
TX0005317250929004,CUS0005317,SYSN10005861,2025-09-29,254700,0,304100.0,604000.0,299900.0
TX0005317251005005,CUS0005317,SYSN10002992,2025-10-05,387700,0,351675.0,771300.0,419625.0
TX0005317251019006,CUS0005317,SYSN10003410,2025-10-19,1019100,0,325800.0,697100.0,371300.0
TX0005317251027007,CUS0005317,SYSN10000369,2025-10-27,1831700,0,643075.0,1878975.0,1235900.0
TX0005317251031008,CUS0005317,SYSN10006178,2025-10-31,300300,0,283100.0,525850.0,242750.0
TX0005317251104009,CUS0005317,SYSN10000997,2025-11-04,478500,0,506500.0,1010600.0,504100.0
TX0005317251111010,CUS0005317,SYSN10003288,2025-11-11,804300,0,472300.0,974650.0,502350.0
TX0005317251118012,CUS0005317,SYSN10006313,2025-11-18,468200,0,318825.0,634125.0,315300.0
TX0005317251225013,CUS0005317,SYSN10002401,2025-12-25,1037500,0,517600.0,1095000.0,577400.0
TX0005318240517000,CUS0005318,SYSN10004289,2024-05-17,415700,0,329950.0,652050.0,322100.0
TX0005318240616001,CUS0005318,SYSN10004501,2024-06-16,1387500,0,751250.0,1783950.0,1032700.0
TX0005318240706002,CUS0005318,SYSN10005344,2024-07-06,808600,0,286150.0,534600.0,248450.0
TX0005318240812003,CUS0005318,SYSN10006337,2024-08-12,917100,0,289600.0,850100.0,560500.0
TX0005318240818004,CUS0005318,SYSN10006666,2024-08-18,975300,0,287750.0,635200.0,347450.0
TX0005318240824005,CUS0005318,SYSN10001569,2024-08-24,297100,0,319450.0,677450.0,358000.0
TX0005318240907006,CUS0005318,SYSN10002317,2024-09-07,300800,0,258100.0,577450.0,319350.0
TX0005318240909007,CUS0005318,SYSN10006122,2024-09-09,847600,0,746700.0,1574400.0,827700.0
TX0005318241006008,CUS0005318,SYSN10002119,2024-10-06,340800,0,341250.0,675600.0,334350.0
TX0005318241007009,CUS0005318,SYSN10004790,2024-10-07,851800,0,402200.0,849850.0,447650.0
TX0005318241124011,CUS0005318,SYSN10000571,2024-11-24,2196400,0,570300.0,1431250.0,860950.0
TX0005318241225012,CUS0005318,SYSN10001424,2024-12-25,190300,0,271000.0,602800.0,331800.0
TX0005318250111013,CUS0005318,SYSN10002271,2025-01-11,369300,0,314950.0,708500.0,393550.0
TX0005318250315014,CUS0005318,SYSN10001529,2025-03-15,278900,0,282850.0,617100.0,334250.0
TX0005318250414015,CUS0005318,SYSN10001699,2025-04-14,747800,0,276800.0,623350.0,346550.0
TX0005318250518017,CUS0005318,SYSN10001394,2025-05-18,473200,0,489950.0,1199750.0,709800.0
TX0005318250722019,CUS0005318,SYSN10004593,2025-07-22,444200,0,478575.0,963750.0,485175.0
TX0005318250730020,CUS0005318,SYSN10000360,2025-07-30,451000,0,548200.0,1423850.0,875650.0
TX0005318250827023,CUS0005318,SYSN10005751,2025-08-27,422200,0,407100.0,845000.0,437900.0
TX0005318251010026,CUS0005318,SYSN10000539,2025-10-10,427200,0,364700.0,726800.0,362100.0
TX0005318251026027,CUS0005318,SYSN10003103,2025-10-26,340300,0,270050.0,640650.0,370600.0
TX0005319250422000,CUS0005319,SYSN10000126,2025-04-22,142600,0,142600.0,142600.0,0.0
TX0005320250801000,CUS0005320,SYSN10006025,2025-08-01,209000,0,190400.0,382800.0,192400.0
TX0005320251002001,CUS0005320,SYSN10002791,2025-10-02,71600,0,95400.0,143000.0,47600.0
TX0005320251212002,CUS0005320,SYSN10002413,2025-12-12,69100,0,133625.0,178300.0,44675.0
TX0005321250125000,CUS0005321,SYSN10004356,2025-01-25,242800,0,169250.0,226100.0,56850.0
TX0005321250322001,CUS0005321,SYSN10002052,2025-03-22,154100,0,176100.0,200950.0,24850.0
TX0005321250825002,CUS0005321,SYSN10004773,2025-08-25,200500,0,111000.0,235200.0,124200.0
TX0005322220805000,CUS0005322,SYSN10000762,2022-08-05,263300,0,135075.0,270125.0,135050.0
TX0005322230101001,CUS0005322,SYSN10005346,2023-01-01,53100,0,70425.0,173250.0,102825.0
TX0005322231126002,CUS0005322,SYSN10006431,2023-11-26,112100,0,106550.0,239525.0,132975.0
TX0005323241211000,CUS0005323,SYSN10007061,2024-12-11,82400,1,153925.0,192025.0,38100.0
TX0005323241230001,CUS0005323,SYSN10000274,2024-12-30,357800,0,150700.0,319550.0,168850.0
TX0005323250807002,CUS0005323,SYSN10001166,2025-08-07,336400,0,224725.0,437750.0,213025.0
TX0005323250905003,CUS0005323,SYSN10005372,2025-09-05,245500,0,250650.0,272400.0,21750.0
TX0005323251117005,CUS0005323,SYSN10005340,2025-11-17,148600,0,146900.0,155000.0,8100.0
TX0005324250307000,CUS0005324,SYSN10007446,2025-03-07,857300,0,361550.0,674100.0,312550.0
TX0005324250505001,CUS0005324,SYSN10000891,2025-05-05,1550100,0,506475.0,1075850.0,569375.0
TX0005324250725002,CUS0005324,SYSN10005061,2025-07-25,754100,0,742650.0,1770450.0,1027800.0
TX0005324250825003,CUS0005324,SYSN10002809,2025-08-25,531900,0,568000.0,1569800.0,1001800.0
TX0005324250906004,CUS0005324,SYSN10002455,2025-09-06,1315400,0,664550.0,1773450.0,1108900.0
TX0005325250130000,CUS0005325,SYSN10003226,2025-01-30,398000,0,186525.0,410300.0,223775.0
TX0005325250729001,CUS0005325,SYSN10001729,2025-07-29,198800,0,154900.0,202000.0,47100.0
TX0005326241212002,CUS0005326,SYSN10002685,2024-12-12,175800,0,143200.0,175800.0,32600.0
TX0005327240416001,CUS0005327,SYSN10001617,2024-04-16,260700,0,227850.0,307100.0,79250.0
TX0005327240427002,CUS0005327,SYSN10000704,2024-04-27,137800,0,130300.0,259050.0,128750.0
TX0005327240622004,CUS0005327,SYSN10007026,2024-06-22,191800,0,168250.0,355000.0,186750.0
TX0005327240724005,CUS0005327,SYSN10005597,2024-07-24,167500,0,156500.0,171900.0,15400.0
TX0005327240726006,CUS0005327,SYSN10007238,2024-07-26,128900,0,150200.0,177200.0,27000.0
TX0005327250126007,CUS0005327,SYSN10001488,2025-01-26,168800,0,168800.0,195600.0,26800.0
TX0005327251201010,CUS0005327,SYSN10005642,2025-12-01,198600,0,215300.0,254700.0,39400.0
TX0005327251209011,CUS0005327,SYSN10006580,2025-12-09,261200,0,236550.0,384700.0,148150.0
TX0005328250829000,CUS0005328,SYSN10007111,2025-08-29,347800,0,163100.0,300775.0,137675.0
TX0005329250917001,CUS0005329,SYSN10002936,2025-09-17,159100,0,124600.0,147600.0,23000.0
TX0005330231205000,CUS0005330,SYSN10001910,2023-12-05,287500,0,287900.0,306075.0,18175.0
TX0005330231212001,CUS0005330,SYSN10002701,2023-12-12,487400,0,440500.0,1076550.0,636050.0
TX0005330231213002,CUS0005330,SYSN10005430,2023-12-13,361100,0,338450.0,770050.0,431600.0
TX0005330231231003,CUS0005330,SYSN10006693,2023-12-31,1237600,1,286200.0,618600.0,332400.0
TX0005331240826000,CUS0005331,SYSN10006502,2024-08-26,352900,0,336400.0,669800.0,333400.0
TX0005331240902001,CUS0005331,SYSN10000080,2024-09-02,304400,0,278250.0,603000.0,324750.0
