ma_khach_hang,ngay_mua_gan_nhat,tan_suat_mua,tong_chi_tieu,gia_tri_don_hang_tb,ngay_mua_dau_tien,tong_so_luong_mua,so_danh_muc_da_mua,danh_muc_yeu_thich,so_ngay_tu_lan_mua_cuoi,tuoi_tho_khach_hang,diem_R,diem_F,diem_M,diem_RFM_ma_hoa,diem_RFM_tong,phan_khuc_rfm,ngay_snapshot
CUS0013439,2025-11-19,11,3794000,344909,2023-10-21,19,5,Moisturizer,41,760,5,5,5,555,15,Champions,2025-12-31
CUS0013440,2024-05-27,9,5885000,653889,2022-11-06,14,4,Serum,582,568,3,5,5,355,13,Loyal Customers,2025-12-31
CUS0013441,2025-12-15,10,2385000,238500,2024-06-03,16,5,Toner,15,560,5,5,4,554,14,Champions,2025-12-31
CUS0013442,2025-08-16,24,5934000,247250,2022-11-19,42,5,Sunscreen,136,1001,4,5,5,455,14,Champions,2025-12-31
CUS0013443,2024-07-28,2,383000,191500,2024-05-20,3,2,Moisturizer,520,69,3,2,2,322,7,Potential Loyalists,2025-12-31
CUS0013444,2024-07-13,2,535000,267500,2024-05-20,3,2,Cleanser,535,54,3,2,2,322,7,Potential Loyalists,2025-12-31
CUS0013445,2024-04-03,1,68000,68000,2024-04-03,1,1,Cleanser,637,0,3,1,1,311,5,Need Attention,2025-12-31
CUS0013446,2025-07-03,2,1415000,707500,2025-02-15,6,2,Sunscreen,180,138,4,2,4,424,10,Recent Customers,2025-12-31
CUS0013447,2023-11-12,2,365000,182500,2023-10-06,2,2,Serum,779,37,2,2,2,222,6,Hibernating,2025-12-31
CUS0013448,2025-01-11,2,384000,192000,2024-11-12,5,1,Sunscreen,353,60,4,2,2,422,8,Recent Customers,2025-12-31
CUS0013449,2023-09-26,1,842000,842000,2023-09-26,4,1,Cleanser,827,0,2,1,3,213,6,Hibernating,2025-12-31
CUS0013450,2022-04-29,8,2889000,361125,2022-01-09,12,4,Cleanser,1341,110,1,4,5,145,10,Cant Lose Them,2025-12-31
CUS0013451,2025-10-22,54,14389000,266463,2023-02-27,86,5,Serum,69,968,5,5,5,555,15,Champions,2025-12-31
CUS0013453,2023-04-25,1,186000,186000,2023-04-25,2,1,Sunscreen,981,0,2,1,1,211,4,Hibernating,2025-12-31
CUS0013455,2023-05-24,2,324000,162000,2023-03-28,2,2,Serum,951,57,2,2,1,221,5,Hibernating,2025-12-31
CUS0013456,2022-11-16,2,226000,113000,2022-07-28,2,1,Toner,1140,111,1,2,1,121,4,Lost,2025-12-31
CUS0013457,2024-02-21,9,4660000,517778,2022-04-01,15,5,Serum,678,691,3,5,5,355,13,Loyal Customers,2025-12-31
CUS0013458,2022-07-02,2,410000,205000,2022-05-15,2,1,Sunscreen,1277,48,1,2,2,122,5,Lost,2025-12-31
CUS0013459,2024-07-24,3,1342000,447333,2024-01-01,6,2,Cleanser,524,205,3,3,4,334,10,Loyal Customers,2025-12-31
CUS0013460,2023-11-11,8,4307000,538375,2023-02-20,14,5,Serum,780,264,2,4,5,245,11,Cant Lose Them,2025-12-31
CUS0013461,2023-02-17,3,781000,260333,2022-09-13,6,2,Toner,1047,157,1,3,3,133,7,At Risk,2025-12-31
CUS0013462,2022-04-23,2,561000,280500,2022-01-12,2,2,Serum,1347,101,1,2,2,122,5,Lost,2025-12-31
CUS0013463,2025-08-09,4,513000,128250,2024-10-16,5,3,Cleanser,143,297,4,3,2,432,9,Potential Loyalists,2025-12-31
CUS0013464,2024-05-26,1,191000,191000,2024-05-26,1,1,Serum,584,0,3,1,1,311,5,Need Attention,2025-12-31
CUS0013465,2023-03-30,9,2561000,284556,2022-03-20,13,4,Toner,1006,375,2,5,5,255,12,Cant Lose Them,2025-12-31
CUS0013466,2025-04-09,2,1065000,532500,2024-11-23,5,2,Serum,265,137,4,2,3,423,9,Recent Customers,2025-12-31
CUS0013467,2025-09-25,3,820000,273333,2025-06-20,8,1,Cleanser,96,97,5,3,3,533,11,Loyal Customers,2025-12-31
CUS0013468,2025-05-21,2,727000,363500,2025-01-22,3,1,Serum,223,119,4,2,3,423,9,Recent Customers,2025-12-31
CUS0013469,2025-12-23,4,980000,245000,2025-05-27,7,2,Serum,7,210,5,3,3,533,11,Loyal Customers,2025-12-31
CUS0013470,2022-08-03,1,175000,175000,2022-08-03,1,1,Serum,1246,0,1,1,1,111,3,Lost,2025-12-31
CUS0013471,2024-10-08,5,1473000,294600,2022-11-27,8,3,Sunscreen,448,681,3,4,4,344,11,Loyal Customers,2025-12-31
CUS0013472,2023-07-25,8,1620000,202500,2022-07-16,12,4,Sunscreen,889,374,2,4,4,244,10,Cant Lose Them,2025-12-31
CUS0013473,2025-10-15,22,7045000,320227,2024-02-03,39,5,Sunscreen,76,620,5,5,5,555,15,Champions,2025-12-31
CUS0013474,2022-04-29,2,1150000,575000,2022-04-18,5,2,Moisturizer,1341,11,1,2,3,123,6,Lost,2025-12-31
CUS0013475,2022-02-25,1,222000,222000,2022-02-25,1,1,Moisturizer,1405,0,1,1,1,111,3,Lost,2025-12-31
CUS0013476,2024-02-13,2,414000,207000,2023-12-04,3,2,Sunscreen,686,71,3,2,2,322,7,Potential Loyalists,2025-12-31
CUS0013477,2022-07-28,3,620000,206667,2022-05-05,6,3,Cleanser,1251,84,1,3,2,132,6,At Risk,2025-12-31
CUS0013478,2023-10-03,3,4571000,1523667,2023-03-17,9,3,Toner,819,200,2,3,5,235,10,At Risk,2025-12-31
CUS0013479,2023-10-23,3,1392000,464000,2023-05-24,10,3,Cleanser,799,152,2,3,4,234,9,At Risk,2025-12-31
CUS0013480,2025-07-24,2,1484000,742000,2025-06-22,5,2,Sunscreen,159,32,4,2,4,424,10,Recent Customers,2025-12-31
CUS0013481,2025-07-09,3,918000,306000,2025-03-08,4,2,Sunscreen,174,123,4,3,3,433,10,Loyal Customers,2025-12-31
CUS0013482,2025-12-11,15,6314000,420933,2024-10-10,27,5,Cleanser,19,427,5,5,5,555,15,Champions,2025-12-31
CUS0013483,2025-12-12,4,1732000,433000,2025-06-15,5,4,Moisturizer,18,180,5,3,4,534,12,Loyal Customers,2025-12-31
CUS0013484,2025-03-11,4,1269000,317250,2024-12-19,6,2,Serum,294,82,4,3,4,434,11,Loyal Customers,2025-12-31
CUS0013485,2022-05-27,2,442000,221000,2022-02-07,3,2,Sunscreen,1313,109,1,2,2,122,5,Lost,2025-12-31
CUS0013486,2025-11-17,9,3842000,426889,2023-12-06,18,4,Sunscreen,43,712,5,5,5,555,15,Champions,2025-12-31
CUS0013487,2023-11-13,1,78000,78000,2023-11-13,1,1,Moisturizer,779,0,2,1,1,211,4,Hibernating,2025-12-31
CUS0013488,2024-06-24,2,610000,305000,2024-04-21,3,2,Cleanser,554,64,3,2,2,322,7,Potential Loyalists,2025-12-31
CUS0013489,2022-11-08,2,228000,114000,2022-10-28,2,2,Serum,1148,11,1,2,1,121,4,Lost,2025-12-31
CUS0013490,2024-02-12,1,586000,586000,2024-02-12,2,1,Serum,688,0,3,1,2,312,6,Need Attention,2025-12-31
CUS0013491,2024-10-18,4,1373000,343250,2024-04-08,6,3,Serum,438,193,3,3,4,334,10,Loyal Customers,2025-12-31
CUS0013492,2022-05-23,2,371000,185500,2022-05-13,4,2,Cleanser,1317,10,1,2,2,122,5,Lost,2025-12-31
CUS0013493,2023-05-04,2,273000,136500,2022-12-05,2,2,Serum,971,150,2,2,1,221,5,Hibernating,2025-12-31
CUS0013494,2023-07-31,2,941000,470500,2023-03-24,5,2,Serum,883,129,2,2,3,223,7,Hibernating,2025-12-31
CUS0013495,2022-09-19,2,314000,157000,2022-08-04,3,2,Toner,1198,46,1,2,1,121,4,Lost,2025-12-31
CUS0013496,2024-11-24,5,1618000,323600,2023-09-21,7,3,Serum,401,430,4,4,4,444,12,Champions,2025-12-31
CUS0013497,2023-04-17,4,2017000,504250,2022-05-24,7,3,Serum,988,328,2,3,4,234,9,At Risk,2025-12-31
CUS0013498,2025-04-12,3,693000,231000,2024-12-17,3,3,Serum,262,116,4,3,3,433,10,Loyal Customers,2025-12-31
CUS0013499,2024-12-04,2,423000,211500,2024-11-15,3,2,Cleanser,391,19,4,2,2,422,8,Recent Customers,2025-12-31
CUS0013500,2025-12-30,20,4870000,243500,2022-03-22,35,5,Sunscreen,0,1379,5,5,5,555,15,Champions,2025-12-31
CUS0013501,2022-12-18,4,2427000,606750,2022-02-18,12,2,Sunscreen,1108,303,1,3,4,134,8,At Risk,2025-12-31
CUS0013502,2025-12-07,24,6179000,257458,2023-04-14,30,5,Sunscreen,23,968,5,5,5,555,15,Champions,2025-12-31
CUS0013503,2025-08-07,9,6841000,760111,2024-10-10,16,4,Serum,145,301,4,5,5,455,14,Champions,2025-12-31
CUS0013504,2024-06-27,1,387000,387000,2024-06-27,1,1,Serum,552,0,3,1,2,312,6,Need Attention,2025-12-31
CUS0013506,2024-10-29,2,268000,134000,2024-06-08,3,2,Cleanser,427,143,4,2,1,421,7,Recent Customers,2025-12-31
CUS0013507,2023-11-18,1,332000,332000,2023-11-18,3,1,Serum,774,0,2,1,2,212,5,Hibernating,2025-12-31
CUS0013508,2025-08-05,8,3069000,383625,2024-05-02,14,5,Serum,147,460,4,4,5,445,13,Champions,2025-12-31
CUS0013509,2025-12-05,5,1141000,228200,2025-10-19,10,2,Sunscreen,25,47,5,4,3,543,12,Loyal Customers,2025-12-31
CUS0013510,2023-05-07,1,158000,158000,2023-05-07,1,1,Serum,969,0,2,1,1,211,4,Hibernating,2025-12-31
CUS0013511,2025-11-19,11,3908000,355273,2024-04-06,16,5,Serum,41,592,5,5,5,555,15,Champions,2025-12-31
CUS0013512,2025-12-21,4,630000,157500,2025-11-11,7,3,Moisturizer,9,40,5,3,2,532,10,Potential Loyalists,2025-12-31
CUS0013513,2022-04-21,1,113000,113000,2022-04-21,2,1,Cleanser,1350,0,1,1,1,111,3,Lost,2025-12-31
CUS0013514,2022-06-14,2,1719000,859500,2022-03-03,4,2,Moisturizer,1295,103,1,2,4,124,7,Lost,2025-12-31
CUS0013515,2023-01-25,1,133000,133000,2023-01-25,2,1,Serum,1071,0,1,1,1,111,3,Lost,2025-12-31
CUS0013516,2024-10-17,1,250000,250000,2024-10-17,1,1,Sunscreen,440,0,3,1,1,311,5,Need Attention,2025-12-31
CUS0013517,2023-08-04,2,420000,210000,2023-05-05,4,1,Serum,879,91,2,2,2,222,6,Hibernating,2025-12-31
CUS0013518,2024-07-17,2,537000,268500,2024-06-23,2,1,Serum,531,24,3,2,2,322,7,Potential Loyalists,2025-12-31
CUS0013519,2024-12-28,2,1901000,950500,2024-11-07,2,2,Serum,367,51,4,2,4,424,10,Recent Customers,2025-12-31
CUS0013520,2023-12-05,1,211000,211000,2023-12-05,1,1,Serum,757,0,2,1,1,211,4,Hibernating,2025-12-31
CUS0013521,2025-12-29,26,7558000,290692,2025-01-02,35,5,Serum,1,361,5,5,5,555,15,Champions,2025-12-31
CUS0013522,2025-11-04,1,106000,106000,2025-11-04,1,1,Toner,57,0,5,1,1,511,7,Recent Customers,2025-12-31
CUS0013523,2024-02-09,2,768000,384000,2023-12-02,2,2,Serum,690,69,3,2,3,323,8,Potential Loyalists,2025-12-31
CUS0013524,2025-12-12,8,4189000,523625,2025-03-26,14,4,Sunscreen,18,261,5,4,5,545,14,Champions,2025-12-31
CUS0013525,2022-10-15,1,136000,136000,2022-10-15,1,1,Sunscreen,1173,0,1,1,1,111,3,Lost,2025-12-31
CUS0013526,2025-06-01,10,3128000,312800,2023-11-17,15,5,Sunscreen,212,562,4,5,5,455,14,Champions,2025-12-31
CUS0013527,2025-05-31,4,514000,128500,2024-07-27,5,2,Toner,213,308,4,3,2,432,9,Potential Loyalists,2025-12-31
CUS0013528,2023-09-09,1,176000,176000,2023-09-09,1,1,Serum,844,0,2,1,1,211,4,Hibernating,2025-12-31
CUS0013529,2024-08-21,1,412000,412000,2024-08-21,2,1,Serum,497,0,3,1,2,312,6,Need Attention,2025-12-31
CUS0013530,2023-01-23,5,924000,184800,2022-04-20,8,2,Moisturizer,1072,278,1,4,3,143,8,At Risk,2025-12-31
CUS0013531,2025-02-24,2,373000,186500,2024-12-25,4,2,Cleanser,309,61,4,2,2,422,8,Recent Customers,2025-12-31
CUS0013532,2022-10-25,1,130000,130000,2022-10-25,1,1,Serum,1163,0,1,1,1,111,3,Lost,2025-12-31
CUS0013533,2024-02-21,3,961000,320333,2023-08-05,5,3,Sunscreen,678,200,3,3,3,333,9,Loyal Customers,2025-12-31
CUS0013534,2023-11-04,1,678000,678000,2023-11-04,2,1,Cleanser,788,0,2,1,3,213,6,Hibernating,2025-12-31
CUS0013535,2022-07-14,2,298000,149000,2022-06-09,3,2,Cleanser,1265,35,1,2,1,121,4,Lost,2025-12-31
CUS0013536,2024-08-12,8,2271000,283875,2022-08-09,14,4,Serum,505,734,3,4,4,344,11,Loyal Customers,2025-12-31
CUS0013537,2022-08-12,1,318000,318000,2022-08-12,2,1,Sunscreen,1237,0,1,1,1,111,3,Lost,2025-12-31
CUS0013538,2025-03-28,4,1548000,387000,2024-08-08,6,2,Moisturizer,277,232,4,3,4,434,11,Loyal Customers,2025-12-31
CUS0013539,2025-05-06,2,210000,105000,2024-12-07,2,1,Toner,238,150,4,2,1,421,7,Recent Customers,2025-12-31
CUS0013540,2023-03-23,4,844000,211000,2022-07-01,6,3,Sunscreen,1013,265,2,3,3,233,8,At Risk,2025-12-31
CUS0013541,2025-12-08,5,717000,143400,2025-09-13,6,4,Cleanser,22,86,5,4,3,543,12,Loyal Customers,2025-12-31
CUS0013542,2023-11-14,2,1855000,927500,2023-06-12,2,2,Sunscreen,777,155,2,2,4,224,8,Hibernating,2025-12-31
CUS0013544,2023-01-12,2,253000,126500,2022-11-14,2,2,Sunscreen,1083,59,1,2,1,121,4,Lost,2025-12-31
CUS0013545,2025-12-14,12,4909000,409083,2025-08-21,18,3,Serum,16,115,5,5,5,555,15,Champions,2025-12-31
CUS0013546,2025-06-04,3,1356000,452000,2024-12-05,6,3,Sunscreen,209,181,4,3,4,434,11,Loyal Customers,2025-12-31
CUS0013547,2023-03-09,4,528000,132000,2022-10-18,5,3,Serum,1027,142,2,3,2,232,7,At Risk,2025-12-31
CUS0013548,2025-04-28,4,1487000,371750,2024-08-05,8,2,Serum,246,266,4,3,4,434,11,Loyal Customers,2025-12-31
CUS0013549,2025-08-23,3,604000,201333,2025-02-26,5,2,Serum,129,178,4,3,2,432,9,Potential Loyalists,2025-12-31
CUS0013550,2023-04-04,3,301000,100333,2022-12-02,3,3,Sunscreen,1001,123,2,3,1,231,6,At Risk,2025-12-31
CUS0013551,2024-05-10,1,760000,760000,2024-05-10,4,1,Serum,600,0,3,1,3,313,7,Need Attention,2025-12-31
CUS0013552,2022-08-03,1,81000,81000,2022-08-03,1,1,Sunscreen,1246,0,1,1,1,111,3,Lost,2025-12-31
CUS0013553,2025-09-10,11,3159000,287182,2024-10-14,17,4,Serum,111,331,5,5,5,555,15,Champions,2025-12-31
CUS0013554,2023-03-11,4,1263000,315750,2022-08-05,10,3,Cleanser,1025,218,2,3,4,234,9,At Risk,2025-12-31
CUS0013555,2023-04-07,11,1976000,179636,2023-01-11,16,4,Toner,998,86,2,5,4,254,11,Cant Lose Them,2025-12-31
CUS0013556,2025-05-20,1,326000,326000,2025-05-20,2,1,Serum,225,0,4,1,1,411,6,Recent Customers,2025-12-31
CUS0013557,2022-11-14,1,865000,865000,2022-11-14,1,1,Cleanser,1143,0,1,1,3,113,5,Lost,2025-12-31
CUS0013558,2024-12-22,2,594000,297000,2024-09-06,4,2,Cleanser,373,107,4,2,2,422,8,Recent Customers,2025-12-31
CUS0013559,2022-11-26,1,62000,62000,2022-11-26,1,1,Sunscreen,1131,0,1,1,1,111,3,Lost,2025-12-31
CUS0013560,2023-11-19,1,252000,252000,2023-11-19,2,1,Cleanser,773,0,2,1,1,211,4,Hibernating,2025-12-31
CUS0013561,2023-02-04,4,748000,187000,2022-05-09,6,3,Sunscreen,1060,271,1,3,3,133,7,At Risk,2025-12-31
CUS0013562,2025-07-08,5,2799000,559800,2024-10-16,11,3,Cleanser,175,265,4,4,5,445,13,Champions,2025-12-31
CUS0013563,2025-01-16,3,796000,265333,2024-07-15,4,3,Moisturizer,348,185,4,3,3,433,10,Loyal Customers,2025-12-31
CUS0013564,2025-12-03,12,4714000,392833,2024-05-20,23,4,Serum,27,562,5,5,5,555,15,Champions,2025-12-31
CUS0013565,2023-10-05,2,932000,466000,2023-07-02,4,2,Serum,817,95,2,2,3,223,7,Hibernating,2025-12-31
CUS0013566,2025-05-30,8,3373000,421625,2024-03-01,22,4,Serum,214,455,4,4,5,445,13,Champions,2025-12-31
CUS0013567,2024-11-21,5,763000,152600,2024-02-05,7,3,Toner,404,290,4,4,3,443,11,Loyal Customers,2025-12-31
CUS0013568,2025-09-17,8,1334000,166750,2024-12-19,11,5,Toner,104,272,5,4,4,544,13,Champions,2025-12-31
CUS0013569,2023-08-03,5,1772000,354400,2023-04-26,10,3,Moisturizer,880,99,2,4,4,244,10,Cant Lose Them,2025-12-31
CUS0013570,2024-09-27,1,41000,41000,2024-09-27,1,1,Cleanser,460,0,3,1,1,311,5,Need Attention,2025-12-31
CUS0013571,2022-09-07,2,1784000,892000,2022-05-03,7,2,Sunscreen,1210,127,1,2,4,124,7,Lost,2025-12-31
CUS0013572,2025-12-07,25,5684000,227360,2024-12-05,38,5,Sunscreen,23,367,5,5,5,555,15,Champions,2025-12-31
CUS0013573,2023-08-25,4,1062000,265500,2023-06-05,6,2,Serum,858,81,2,3,3,233,8,At Risk,2025-12-31
CUS0013574,2024-07-25,3,828000,276000,2024-06-12,5,3,Serum,523,43,3,3,3,333,9,Loyal Customers,2025-12-31
CUS0013575,2022-08-28,3,786000,262000,2022-01-06,4,1,Serum,1220,234,1,3,3,133,7,At Risk,2025-12-31
CUS0013576,2022-08-16,2,1653000,826500,2022-07-17,3,2,Serum,1232,30,1,2,4,124,7,Lost,2025-12-31
CUS0013577,2023-01-13,1,100000,100000,2023-01-13,1,1,Moisturizer,1083,0,1,1,1,111,3,Lost,2025-12-31
CUS0013578,2024-05-21,3,1107000,369000,2023-11-03,5,2,Sunscreen,588,200,3,3,3,333,9,Loyal Customers,2025-12-31
CUS0013579,2024-10-19,2,1029000,514500,2024-04-10,5,1,Serum,437,192,3,2,3,323,8,Potential Loyalists,2025-12-31
CUS0013580,2025-08-17,4,1573000,393250,2024-11-22,7,1,Sunscreen,135,268,4,3,4,434,11,Loyal Customers,2025-12-31
CUS0013581,2024-04-25,5,661000,132200,2023-10-03,7,4,Toner,614,205,3,4,3,343,10,Loyal Customers,2025-12-31
CUS0013582,2025-05-04,4,623000,155750,2024-08-10,6,2,Cleanser,240,267,4,3,2,432,9,Potential Loyalists,2025-12-31
CUS0013583,2024-12-31,4,2948000,737000,2024-08-06,10,4,Serum,364,147,4,3,5,435,12,Loyal Customers,2025-12-31
CUS0013584,2024-03-19,2,388000,194000,2024-01-17,3,2,Sunscreen,651,62,3,2,2,322,7,Potential Loyalists,2025-12-31
CUS0013585,2025-04-06,12,7317000,609750,2022-10-17,22,5,Sunscreen,268,902,4,5,5,455,14,Champions,2025-12-31
CUS0013586,2024-10-18,2,345000,172500,2024-09-16,3,2,Serum,438,32,3,2,2,322,7,Potential Loyalists,2025-12-31
CUS0013587,2025-12-24,8,2403000,300375,2025-10-13,12,4,Moisturizer,6,72,5,4,4,544,13,Champions,2025-12-31
CUS0013588,2025-10-18,3,2073000,691000,2025-08-20,8,2,Serum,73,59,5,3,4,534,12,Loyal Customers,2025-12-31
CUS0013589,2025-04-04,9,4816000,535111,2024-05-13,14,5,Serum,270,326,4,5,5,455,14,Champions,2025-12-31
CUS0013590,2023-08-04,3,447000,149000,2023-03-01,4,3,Sunscreen,879,156,2,3,2,232,7,At Risk,2025-12-31
CUS0013591,2022-02-23,3,4213000,1404333,2022-02-11,4,3,Serum,1406,12,1,3,5,135,9,At Risk,2025-12-31
CUS0013592,2025-12-25,9,2635000,292778,2025-04-28,12,3,Serum,5,241,5,5,5,555,15,Champions,2025-12-31
CUS0013593,2024-04-26,3,239000,79667,2023-10-24,3,3,Serum,613,185,3,3,1,331,7,Potential Loyalists,2025-12-31
CUS0013594,2024-06-27,3,898000,299333,2024-03-27,3,3,Serum,551,92,3,3,3,333,9,Loyal Customers,2025-12-31
CUS0013595,2025-10-06,2,1056000,528000,2025-09-25,4,1,Serum,85,11,5,2,3,523,10,Recent Customers,2025-12-31
CUS0013596,2024-09-04,10,3017000,301700,2022-09-02,13,3,Serum,482,733,3,5,5,355,13,Loyal Customers,2025-12-31
CUS0013597,2025-07-22,8,1879000,234875,2024-11-15,16,4,Toner,161,249,4,4,4,444,12,Champions,2025-12-31
CUS0013598,2025-08-28,5,2230000,446000,2024-12-15,11,4,Serum,124,256,4,4,4,444,12,Champions,2025-12-31
CUS0013599,2023-02-01,2,775000,387500,2022-12-18,8,2,Moisturizer,1063,45,1,2,3,123,6,Lost,2025-12-31
CUS0013600,2022-07-24,2,450000,225000,2022-06-19,5,2,Serum,1255,35,1,2,2,122,5,Lost,2025-12-31
CUS0013601,2024-04-21,2,229000,114500,2023-12-06,2,1,Cleanser,618,137,3,2,1,321,6,Potential Loyalists,2025-12-31
CUS0013602,2024-06-21,1,351000,351000,2024-06-21,1,1,Sunscreen,558,0,3,1,2,312,6,Need Attention,2025-12-31
CUS0013603,2025-03-27,2,2243000,1121500,2025-01-04,6,2,Serum,278,82,4,2,4,424,10,Recent Customers,2025-12-31
CUS0013604,2024-03-19,2,303000,151500,2024-02-15,2,2,Toner,651,33,3,2,1,321,6,Potential Loyalists,2025-12-31
CUS0013605,2025-02-05,1,438000,438000,2025-02-05,4,1,Serum,329,0,4,1,2,412,7,Recent Customers,2025-12-31
CUS0013606,2024-05-08,2,565000,282500,2024-05-01,3,2,Sunscreen,601,7,3,2,2,322,7,Potential Loyalists,2025-12-31
CUS0013607,2022-09-01,2,275000,137500,2022-06-16,3,2,Moisturizer,1216,77,1,2,1,121,4,Lost,2025-12-31
CUS0013608,2022-08-16,1,45000,45000,2022-08-16,1,1,Toner,1233,0,1,1,1,111,3,Lost,2025-12-31
CUS0013609,2024-08-31,2,680000,340000,2024-06-07,3,2,Serum,486,85,3,2,3,323,8,Potential Loyalists,2025-12-31
CUS0013610,2025-02-05,2,1897000,948500,2024-09-14,2,2,Sunscreen,328,144,4,2,4,424,10,Recent Customers,2025-12-31
CUS0013611,2022-07-04,2,547000,273500,2022-04-03,2,1,Moisturizer,1275,92,1,2,2,122,5,Lost,2025-12-31
CUS0013612,2025-09-30,10,3595000,359500,2024-05-20,18,4,Serum,91,498,5,5,5,555,15,Champions,2025-12-31
CUS0013613,2025-01-04,4,1329000,332250,2024-01-27,8,3,Sunscreen,360,343,4,3,4,434,11,Loyal Customers,2025-12-31
CUS0013614,2025-04-05,1,1184000,1184000,2025-04-05,4,1,Serum,270,0,4,1,4,414,9,Recent Customers,2025-12-31
CUS0013615,2023-09-16,2,3617000,1808500,2023-05-18,8,2,Serum,836,121,2,2,5,225,9,Hibernating,2025-12-31
CUS0013616,2022-11-28,2,541000,270500,2022-10-18,3,2,Serum,1128,41,1,2,2,122,5,Lost,2025-12-31
CUS0013617,2025-01-20,2,417000,208500,2024-12-03,2,2,Sunscreen,344,48,4,2,2,422,8,Recent Customers,2025-12-31
CUS0013618,2024-01-06,1,4646000,4646000,2024-01-06,2,1,Sunscreen,725,0,2,1,5,215,8,Hibernating,2025-12-31
CUS0013619,2025-11-04,25,9916000,396640,2023-11-27,43,5,Sunscreen,56,708,5,5,5,555,15,Champions,2025-12-31
CUS0013620,2022-05-30,2,4417000,2208500,2022-05-24,3,1,Serum,1310,6,1,2,5,125,8,Lost,2025-12-31
CUS0013621,2025-08-04,4,1206000,301500,2024-12-04,5,2,Sunscreen,148,243,4,3,4,434,11,Loyal Customers,2025-12-31
CUS0013622,2025-10-31,9,1906000,211778,2025-05-20,12,5,Cleanser,60,164,5,5,4,554,14,Champions,2025-12-31
CUS0013623,2025-10-19,2,532000,266000,2025-09-08,2,2,Moisturizer,72,41,5,2,2,522,9,Recent Customers,2025-12-31
CUS0013624,2022-11-25,3,565000,188333,2022-04-12,5,3,Sunscreen,1131,227,1,3,2,132,6,At Risk,2025-12-31
CUS0013625,2025-02-17,2,713000,356500,2024-09-01,4,2,Moisturizer,316,169,4,2,3,423,9,Recent Customers,2025-12-31
CUS0013626,2023-04-12,7,4167000,595286,2022-08-07,10,4,Serum,993,248,2,4,5,245,11,Cant Lose Them,2025-12-31
CUS0013627,2025-05-02,3,498000,166000,2024-10-05,3,3,Sunscreen,242,209,4,3,2,432,9,Potential Loyalists,2025-12-31
CUS0013628,2025-11-07,4,352000,88000,2025-05-25,4,2,Sunscreen,53,166,5,3,2,532,10,Potential Loyalists,2025-12-31
CUS0013629,2024-08-10,4,1229000,307250,2023-12-28,5,2,Serum,507,226,3,3,4,334,10,Loyal Customers,2025-12-31
CUS0013630,2022-08-02,1,206000,206000,2022-08-02,2,1,Sunscreen,1247,0,1,1,1,111,3,Lost,2025-12-31
CUS0013631,2023-08-29,10,4575000,457500,2022-08-24,14,4,Serum,854,370,2,5,5,255,12,Cant Lose Them,2025-12-31
CUS0013632,2023-12-01,9,2374000,263778,2022-06-10,13,3,Cleanser,760,539,2,5,4,254,11,Cant Lose Them,2025-12-31
CUS0013633,2024-07-05,1,746000,746000,2024-07-05,2,1,Serum,544,0,3,1,3,313,7,Need Attention,2025-12-31
CUS0013634,2024-05-10,8,2924000,365500,2023-08-01,12,5,Moisturizer,599,283,3,4,5,345,12,Loyal Customers,2025-12-31
CUS0013635,2024-09-24,4,926000,231500,2024-02-08,5,3,Cleanser,462,229,3,3,3,333,9,Loyal Customers,2025-12-31
CUS0013636,2025-12-23,26,8587000,330269,2023-01-14,46,5,Sunscreen,7,1074,5,5,5,555,15,Champions,2025-12-31
CUS0013637,2024-08-26,22,3933000,178773,2022-05-04,28,5,Serum,491,845,3,5,5,355,13,Loyal Customers,2025-12-31
CUS0013638,2022-04-29,2,272000,136000,2022-03-13,2,2,Sunscreen,1341,47,1,2,1,121,4,Lost,2025-12-31
CUS0013639,2022-12-26,1,168000,168000,2022-12-26,1,1,Serum,1101,0,1,1,1,111,3,Lost,2025-12-31
CUS0013640,2023-04-13,4,1334000,333500,2022-05-22,7,2,Toner,992,326,2,3,4,234,9,At Risk,2025-12-31
CUS0013641,2022-01-24,1,1202000,1202000,2022-01-24,1,1,Cleanser,1437,0,1,1,4,114,6,Lost,2025-12-31
CUS0013642,2025-06-29,4,1601000,400250,2025-01-04,7,4,Sunscreen,184,176,4,3,4,434,11,Loyal Customers,2025-12-31
CUS0013643,2025-02-02,4,866000,216500,2024-09-10,4,3,Serum,331,145,4,3,3,433,10,Loyal Customers,2025-12-31
CUS0013645,2022-08-26,1,296000,296000,2022-08-26,2,1,Serum,1223,0,1,1,1,111,3,Lost,2025-12-31
CUS0013646,2023-05-31,4,828000,207000,2023-03-12,5,2,Sunscreen,944,80,2,3,3,233,8,At Risk,2025-12-31
CUS0013647,2022-12-24,1,101000,101000,2022-12-24,1,1,Toner,1103,0,1,1,1,111,3,Lost,2025-12-31
CUS0013648,2024-04-01,1,48000,48000,2024-04-01,1,1,Toner,639,0,3,1,1,311,5,Need Attention,2025-12-31
CUS0013649,2022-12-17,2,651000,325500,2022-09-16,6,2,Toner,1109,92,1,2,3,123,6,Lost,2025-12-31
CUS0013650,2023-10-30,2,868000,434000,2023-09-05,4,2,Serum,792,55,2,2,3,223,7,Hibernating,2025-12-31
CUS0013651,2023-06-20,3,891000,297000,2022-10-11,3,2,Serum,924,252,2,3,3,233,8,At Risk,2025-12-31
